machine,app,"args",ranks,duration,BR_INS,LD_INS,SR_INS,TOT_INS,L1_LDM,L1_STM,L2_LDM,L2_STM,FP_SINGLE,FP_DOUBLE,ARITH,IO Bytes Read,IO Bytes Written,MEM_WCY,REALTIME (sec),PM_MATH_FLOP_CMPL,L1-DCACHE-LOAD-MISSES,L1-ICACHE-LOAD-MISSES,Overhead
lassen,minigan,"",1,0.0666,162916.67128905526,11945948.813874494,583571.5826381805,5298109.443654428,0.9817011789495153,3743621.28721277,212597.5210349385,575626.2005527158,-1.0,0.0,3333333.333333333,731148.0,372682.0,73.61180716202594,0.005003333333333335,,,,3.990996666666667
lassen,minigan,"",1,0.0833,525209.135603798,3182923.1633086167,3852.760704562752,3432946.458421015,2375.0074038683897,968371.0720442659,34019.712273676014,141163.83213396414,-1.0,0.0,2666666.666666666,731120.0,372683.0,6007265.680284292,0.006670000000000001,,,,4.9913300000000005
lassen,miniqmc,"",1,0.0333,1134148.233269021,19.69267270182564,607886.2435965118,4054391.005302562,0.5811065204836263,12638908.301551767,1086624.8032813512,420722.9592408536,-1.0,0.0,5333333.333333333,731148.0,372683.0,5978851.95167865,0.0033363333333333326,,,,1.9946636666666668
lassen,miniqmc,"",1,0.05,142001.72506002025,0.4152089080266434,582229.1095088776,3550438.5756805,0.6351864591561469,844413.8457405561,66678.86169172468,359789.21533379453,-1.0,0.0,4000000.0,731120.0,372683.0,5910745.876599072,0.0033363333333333326,,,,2.9966636666666666
lassen,miniqmc,"",1,0.05,272683.6290282825,4663211.312837175,21.86171908264425,2582244.9483231483,0.7401051909978271,0.3784205476375875,103592.85492453368,202690.72198483755,-1.0,0.0,5333333.333333333,731148.0,372683.0,9863221.819449244,0.006672,,,,2.993328
lassen,miniqmc,"",1,0.05,492268.9343247584,0.4134433672157177,1589594.2280686582,2971353.180404049,0.5647231772563873,6902871.9527089875,30835.571162807584,794696.9815965508,-1.0,0.0,3333333.333333333,731148.0,372682.0,1.6568254562321991,0.0016676666666666665,,,,2.9983323333333334
lassen,miniqmc,"",1,0.05,629612.2051052611,2824183.451196862,4106923.4735312117,17883455.72874244,15.765568751783853,3246682.3453154494,20.996151035377547,841986.5576238001,-1.0,0.0,4666666.666666667,731148.0,372683.0,2.2813491748079917,0.006670333333333335,,,,2.9933296666666664
lassen,miniqmc,"",1,0.1,843850.6136057245,7888583.839119743,2895792.8276786027,6591777.641147872,0.9407692107618298,1813740.939599784,60168.35688725827,493069.243806845,-1.0,0.0,4666666.666666667,731120.0,372682.0,6182253.644722569,0.0033363333333333326,,,,5.996663666666667
lassen,miniqmc,"",1,0.2,341666.59665755014,7941341.583501402,4819710.657636072,18.596729699376024,0.8842921753485083,0.3624720403950188,1084598.242576931,304217.3210450532,-1.0,0.0,4000000.0,731120.0,372682.0,5052438.294806799,0.0033346666666666663,,,,11.996665333333333
lassen,miniqmc,"",27,0.15,,,,,18324594.49785775,44863591.33125483,6092349.0382187525,894795.7521324062,-1.0,1259259.2592592593,665530864.1975309,380207.30864197534,6.14891469123658e+18,512908806.171908,0.4516907530864198,,,,8.54830924691358
lassen,minitri,"",1,0.0333,1157434.4970543429,0.416489855456836,426446.95110376755,1883225.1825639347,0.8531421761219752,6958587.306423505,442343.7450480658,662698.16886359,-1.0,0.0,4666666.666666667,731120.0,372682.0,6060182.734951328,0.001668,,,,1.9963320000000002
lassen,minitri,"",1,0.0333,135516.39234774405,4849274.688037078,354598.9621927447,1462023.815372119,21.246311957941867,210365.61648132585,1604185.8220848774,80447.95985242726,-1.0,0.0,4666666.666666667,731120.0,372682.0,3632581.491416189,0.0016686666666666664,,,,1.9963313333333335
lassen,minitri,"",1,0.0333,245146.06689067386,8877667.663443377,805752.4264204471,1815957.446427001,0.7955308718686257,5394280.794841961,187087.0023210747,628187.152289227,-1.0,0.0,5333333.333333333,731129.3333333335,372682.0,2.184396351608374,0.003336666666666667,,,,1.9946633333333335
lassen,minitri,"",1,0.0333,520026.65013138,100.14932546965416,1535162.4666280197,2499751.635539363,1.2336466417683465,1193041.6492738463,502888.11840298,76386.03233064056,-1.0,0.0,5333333.333333333,731120.0,372682.0,6844597.115525642,0.008338666666666666,,,,1.9896613333333335
lassen,minitri,"",1,0.0333,650934.6194895679,0.4217301101521039,1095452.2001138304,5098600.641568942,0.8496500192655736,4534909.849088221,287346.4028734758,1087274.7260192104,-1.0,0.0,4000000.0,731120.0,372681.0,1.252424899722875,0.003337,,,,1.9946630000000003
lassen,minitri,"",1,0.05,436630.7619680185,6568965.230831552,737243.5761447316,1927691.456343677,0.8848533643877213,0.3379086617694397,759513.5598466798,28963.660324320634,-1.0,0.0,4000000.0,731148.0,372683.0,1.5519190994595355,0.003335333333333334,,,,2.9966646666666668
lassen,minitri,"",1,0.05,620580.600570466,0.4168278370113233,868936.9783778966,3711476.6898156437,0.7721822926908223,0.3647265985105083,1944263.5211547604,300514.81051638303,-1.0,0.0,4666666.666666667,731148.0,372683.0,70.60624691456238,0.0016673333333333336,,,,2.9983326666666668
