no,corona,quartz,lassen,ruby
510,150.6322,321.0935,86.5233,132.7788
511,274.9953,1128.5483,230.8816,409.3928
512,2244.3692,8203.5188,1696.0958,3451.5313
513,474.6298,880.3236,242.0965,339.9121
514,285.1339,342.347,93.9583,121.1816
515,1362.6503,3435.4179,914.886,1342.5762
516,556.9303,779.9134,189.9508,296.5864
517,1701.547,5974.5003,8542.3758,2514.8251
518,1797.7999,5281.5025,1231.8294,2078.7233
519,598.6272,1573.6693,352.9691,609.5182
520,624.7392,2650.5802,582.9736,1073.714
521,770.1228,3075.2775,832.9246,1292.2311
522,1076.1367,1206.3602,333.8222,489.4939
523,2066.1605,3959.6836,995.3421,1541.2797
524,1506.5615,2780.2781,749.8489,1157.1145
525,1277.0232,3607.7748,823.0625,1571.8129
526,878.5675,3197.4407,695.5356,1348.2042
527,1438.1147,4421.9479,1251.0949,1786.4029
528,757.3259,2043.0261,544.0881,799.4892
529,2043.8333,2929.0337,697.109,1160.9424
530,1490.0384,2109.0343,484.0533,872.9678
531,559.994,1258.0883,294.9615,502.659
532,314.3544,730.715,181.1571,305.95
533,1212.3203,4768.7695,963.6742,1929.168
534,287.2527,315.8923,93.4975,130.635
535,327.1912,993.7895,267.1835,389.7347
536,945.7667,3291.2037,923.248,1297.8065
537,1503.5093,4048.8333,1100.1125,1625.4765
538,1637.1525,5223.1687,1346.6732,2096.4933
539,292.989,894.13,220.3563,378.1168
540,2199.4172,5181.6496,1324.4287,1966.1202
541,1688.6956,3671.6678,1065.1754,1429.3353
542,1798.2433,2224.1881,527.5242,933.0813
543,689.2375,2904.8351,786.2895,1347.8371
544,915.5564,3581.2956,887.0498,1454.3442
545,1510.2436,2573.1414,726.4055,1109.6312
546,1670.5735,3640.2496,845.8915,1500.5202
547,832.5053,1493.5099,372.8466,603.8827
548,1837.7581,4138.2646,1104.9945,1689.5422
549,620.2562,1156.9783,318.3026,466.4768
550,1120.1038,4741.8738,1303.5272,1858.7756
551,1881.6611,5757.2024,1208.3265,2287.6568
552,959.9575,1639.3891,469.7317,688.9533
553,505.8298,647.0042,202.7548,243.8477
554,964.0996,1800.5567,518.5747,709.9986
555,2128.701,8778.6648,2357.5723,10645.598
556,1367.6332,1997.1918,523.6423,757.2278
557,602.4917,1301.816,356.3835,515.6511
558,1439.6343,2647.4056,640.4176,1101.1906
559,654.4791,1767.8078,439.9875,749.8804
560,756.1411,1833.3426,444.7036,751.2944
561,1942.1137,4686.3341,1393.4431,1993.5732
562,145.1028,233.2408,69.5865,93.0841
563,642.6116,2025.7425,3023.0257,823.7784
564,336.9683,1117.4277,226.8715,449.8783
565,1563.9404,6235.2314,1458.5238,2581.2205
566,1226.4995,3211.8047,826.8631,1225.5615
567,1332.4649,4604.5055,1003.9094,1704.1373
568,1748.0987,3588.1143,870.9229,1389.3189
569,1122.8864,1796.3675,483.3403,730.5796
570,945.6428,3458.9297,871.4617,1383.6745
571,855.162,1275.4429,323.2818,518.8587
572,1918.3831,4653.5353,1396.4383,1985.0358
573,1253.9762,2624.9977,818.7755,3291.1862
574,1064.8369,3189.1166,722.8173,1263.6803
575,921.979,1393.6142,385.8661,551.5327
576,956.7086,3402.3153,830.3003,1331.6388
577,1354.3191,1984.545,528.5239,784.3361
578,1741.7586,2819.4932,731.6546,1060.611
579,996.5551,1835.7113,703.5848,721.1645
580,882.1263,3152.4915,689.0014,1215.1143
